Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.3,21999,31999,31%,16,POCO, X7 Pro,16224,1708,8,256
4.3,11999,14999,20%,16,Motorola, g45 5G,250100,12376,8,128
4.4,17999,18999,5%,17,realme, 15x 5G,3706,256,6,128
4.5,38994,40999,4%,17,IQOO, Neo 10,909,67,12,256
4.4,39999,49999,20%,17,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,17,Google, Pixel 9A,4870,334,8,256
4.1,7999,10999,27%,17,Ai, Nova 5G,19578,1324,6,128
4.3,25789,26999,4%,17,IQOO, Z10R 5G,408,26,12,256
4.4,39999,49999,20%,17,Google, Pixel 9A,4870,334,8,256
4.2,12499,13999,10%,17,realme, C73 5G,1488,74,4,128
4.2,15499,16499,6%,17,Samsung, Galaxy F17,73,5,4,128
3.9,8999,12999,30%,17,Ai, Nova 5G,3381,301,8,128
4.5,69900,49999,20%,17,Apple, iPhone 16e,1760,115,256,128
3.5,6499,7999,18%,17,I, Kall Z10,8,1,4,64
4.4,17749,21999,19%,17,Tecno, Pova 7,3394,364,8,128
4.3,11999,14499,17%,17,POCO, C85 5G,75,3,4,128
4.5,74999,79999,6%,17,Google, Pixel 10,1337,86,12,256
3.9,8999,12999,30%,17,Ai, Nova 5G,3381,301,8,128
4.3,15980,21999,27%,17,realme, 13 5G,1443,65,8,128
4.4,23999,33999,29%,17,POCO, X7 Pro,7995,788,12,256
4.4,25999,31999,18%,17,Infinix, GT 30,2102,148,8,256
4.4,24999,25999,3%,17,IQOO, Z10 5G,4834,232,8,128
4.4,30999,39999,22%,17,realme, 14 Pro,8675,947,12,512
4.2,11100,14999,25%,17,REDMI, 14C 5G,9161,450,6,128
4.5,18537,23999,22%,17,realme, NARZO 80,819,41,8,128
4.4,28477,29999,5%,17,IQOO, Z10 5G,1094,63,12,256
4.6,38445,38999,1%,19,IQOO, Neo 10,1253,94,8,256
4.4,28477,29999,5%,19,IQOO, Z10 5G,1094,63,12,256
4.6,79999,49999,20%,19,Google, Pixel 9,18064,1223,12,256
4.4,17999,18999,5%,19,realme, 15x 5G,3706,256,6,128
4.4,39999,49999,20%,19,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,19,Google, Pixel 9A,4870,334,8,256
4.3,19499,19999,2%,19,realme, 15x 5G,2985,211,8,128
4.3,13499,14999,10%,19,Infinix, Note 50x,16130,1436,6,128
4.4,39999,49999,20%,19,Google, Pixel 9A,4870,334,8,256
4.0,26999,28999,6%,19,Samsung, Galaxy F55,3182,254,8,128
4.4,34999,37999,7%,19,realme, 14 Pro,8675,947,12,256
4.6,79900,49999,20%,19,Apple, iPhone 16,198933,6344,256,128
4.3,15499,20999,26%,19,POCO, M7 Pro,13446,1107,8,256
4.4,38499,41999,8%,19,Samsung, Galaxy A36,267,18,12,256
4.4,20999,29999,30%,19,Motorola, Edge 50,32167,3048,8,256
4.5,31744,35999,11%,19,IQOO, Neo 10R,2807,182,12,256
4.1,8799,9999,12%,19,LAVA, Bold N1,55,1,4,64
4.3,33999,40999,17%,19,MOTOROLA, Edge 60,13240,1089,12,256
4.4,26999,30999,12%,19,realme, P4 Pro,16360,1316,8,256
4.4,26999,30999,12%,19,realme, P4 Pro,16360,1316,8,256
4.4,28999,32999,12%,19,realme, P4 Pro,3635,305,12,256
4.4,28999,32999,12%,19,realme, P4 Pro,3635,305,12,256
4.4,24999,28999,13%,19,realme, P4 Pro,16360,1316,8,128
4.3,20999,24999,16%,19,Tecno, Pova Slim,780,64,8,128
4.4,39999,49999,20%,20,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,20,Google, Pixel 9A,4870,334,8,256
4.3,13988,15999,12%,20,realme, Narzo 80x,2252,89,8,128
4.5,27999,35999,22%,20,realme, P3 Ultra,3728,353,12,256
4.4,39999,49999,20%,20,Google, Pixel 9A,4870,334,8,256
4.4,25999,33999,23%,20,realme, P3 Ultra,18465,1804,8,256
4.4,23999,31999,25%,20,realme, P3 Ultra,18465,1804,8,128
4.4,23999,31999,25%,20,realme, P3 Ultra,18465,1804,8,128
4.4,20999,27999,25%,20,Motorola, Edge 50,172252,11415,12,256
4.3,10999,11999,8%,20,Tecno, Spark Go,1360,121,4,128
4.4,24999,35999,30%,20,realme, 14 Pro,17514,2044,8,256
4.3,10999,11999,8%,20,Tecno, Spark Go,1360,121,4,128
4.2,13903,19999,30%,20,REDMI, 13 5G,14482,763,8,128
4.4,15999,20999,23%,20,Motorola, G85 5G,257702,12739,8,128
4.4,29999,33999,11%,20,realme, 14 Pro,17514,2044,8,128
4.5,33999,38999,12%,20,vivo, 256 GB,826,52,12,256
4.2,11271,14999,24%,20,REDMI, 14C 5G,9161,450,6,128
4.2,8999,12999,30%,20,OPPO, 64 GB,111,7,4,64
4.3,19999,22999,13%,20,realme, 13 5G,1443,65,8,256
4.4,31999,36999,13%,20,vivo, 256 GB,2024,125,8,256
4.4,29999,34999,14%,20,vivo, 128 GB,2024,125,8,128
4.0,7299,8399,13%,20,LAVA, Bold N1,299,19,4,128
4.3,19999,27999,28%,20,POCO, X7 5G,28239,2138,8,256
4.5,6699,8499,21%,20,Tecno, Spark Go,151,7,3,64
4.4,39999,49999,20%,21,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,21,Google, Pixel 9A,4870,334,8,256
4.1,9395,12999,27%,21,OPPO, 64 GB,1770,87,4,64
4.4,37999,42999,11%,21,MOTOROLA, Edge 60,2249,166,16,512
4.3,18990,20999,9%,21,Samsung, Galaxy A17,261,12,6,128
4.3,18990,20999,9%,21,Samsung, Galaxy A17,261,12,6,128
4.4,39999,49999,20%,21,Google, Pixel 9A,4870,334,8,256
4.3,13450,15999,15%,21,LAVA, Blaze AMOLED,60,6,6,128
4.5,19499,24999,22%,21,Infinix, GT 30,317,16,8,128
4.5,29999,34999,14%,21,MOTOROLA, Edge 70,737,87,8,256
4.6,109999,49999,20%,21,Google, Pixel 10,339,32,16,256
4.3,18990,20999,9%,21,Samsung, Galaxy A17,261,12,6,128
4.1,7999,10999,27%,21,Ai, Nova 5G,19578,1324,6,128
4.4,11499,15499,25%,21,vivo, T3 Lite,107747,3647,6,128
4.4,10499,14499,27%,21,vivo, T3 Lite,73122,2366,4,128
4.4,25999,31999,18%,21,Infinix, GT 30,2102,148,8,256
4.1,7999,10999,27%,21,Ai, Nova 5G,19578,1324,6,128
4.2,10999,49999,20%,21,Motorola, 64 GB,91117,7758,4,64
4.5,27999,33999,17%,21,OPPO, K13 Turbo,7973,485,8,128
4.2,18338,24999,26%,21,REDMI, Note 14,3812,212,8,256
4.3,16999,20999,19%,21,OPPO, A3 Pro,2604,112,8,128
4.4,31999,36999,13%,21,vivo, 256 GB,2024,125,8,256
4.2,7499,8999,16%,21,Tecno, Spark Go,2209,131,4,64
4.2,10690,13999,23%,21,REDMI, 14C 5G,8622,430,4,128
4.7,81999,89999,8%,22,vivo, 512 GB,377,58,12,512
4.7,75999,83999,9%,22,vivo, 256 GB,377,58,12,256
4.4,39999,49999,20%,22,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,22,Google, Pixel 9A,4870,334,8,256
4.7,75999,83999,9%,22,vivo, 256 GB,377,58,12,256
4.7,81999,89999,8%,22,vivo, 512 GB,377,58,12,512
4.4,39999,49999,20%,22,Google, Pixel 9A,4870,334,8,256
4.7,75999,83999,9%,22,vivo, 256 GB,377,58,12,256
4.4,15999,18999,15%,22,Tecno, Pova Curve,2151,222,6,128
4.3,18284,19999,8%,22,REDMI, 15 5G,2540,130,8,256
4.7,45975,45999,20%,22,IQOO, Neo 10,168,14,16,512
4.5,7531,10499,28%,22,Samsung, Galaxy A07,48,2,4,64
4.3,21999,33999,35%,22,POCO, F6 5G,14405,1263,8,256
4.3,20999,24999,16%,22,Tecno, Pova Slim,780,64,8,128
4.3,20999,24999,16%,22,Tecno, Pova Slim,780,64,8,128
4.3,19499,19999,2%,22,realme, 15x 5G,2985,211,8,128
4.3,20999,21999,4%,22,realme, 15x 5G,2985,211,8,256
4.4,23988,36999,35%,22,OPPO, F29 Pro,1235,62,12,256
4.4,16999,19999,15%,22,vivo, Y31 5G,280,7,4,128
4.4,16999,19999,15%,22,vivo, Y31 5G,280,7,4,128
4.2,11499,12999,11%,22,realme, C73 5G,1488,74,4,64
4.5,40490,61999,34%,22,OnePlus, 11 5G,1907,160,16,256
4.2,11499,12999,11%,22,realme, C73 5G,1488,74,4,64
4.4,25999,33999,23%,22,POCO, X7 Pro,7995,788,12,256
4.4,17482,21499,18%,23,vivo, Y31 5G,390,13,6,128
4.5,33999,38999,12%,23,vivo, 256 GB,826,52,12,256
4.4,39999,49999,20%,23,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,23,Google, Pixel 9A,4870,334,8,256
4.4,18749,23999,21%,23,Tecno, Pova 7,3394,364,8,256
4.4,18749,23999,21%,23,Tecno, Pova 7,3394,364,8,256
4.4,26999,35999,25%,23,realme, 14 Pro,17514,2044,8,256
4.2,10999,13499,18%,23,LAVA, Storm Play,161,12,6,128
4.4,39999,49999,20%,23,Google, Pixel 9A,4870,334,8,256
4.3,24999,39999,37%,23,POCO, F6 5G,9055,851,12,256
4.5,27999,33999,17%,23,OPPO, K13 Turbo,7973,485,8,128
4.5,29999,35999,16%,23,OPPO, K13 Turbo,7973,485,8,256
4.5,29999,35999,16%,23,OPPO, K13 Turbo,7973,485,8,256
4.5,27999,33999,17%,23,OPPO, K13 Turbo,7973,485,8,128
4.2,10999,13499,18%,23,LAVA, Storm Play,161,12,6,128
4.3,14999,17999,16%,23,POCO, M7 Plus,3364,193,8,128
4.4,24599,24999,1%,23,IQOO, Z10R 5G,3213,175,8,256
4.4,13999,14499,3%,23,vivo, T3 Lite,73122,2366,4,128
4.3,17999,19999,10%,23,Tecno, Pova Curve,1324,138,8,128
4.0,17968,24499,26%,23,Samsung, M36 5G,319,16,8,128
4.4,23690,32999,28%,23,OPPO, F29 Pro,1855,128,8,128
4.0,9454,12499,24%,23,Samsung, Galaxy M06,178,8,4,64
4.3,6499,7999,18%,23,Ai, 64 GB,40425,2483,4,64
4.2,11789,13999,15%,23,realme, C73 5G,1488,74,4,128
4.4,15999,18999,15%,24,Tecno, Pova Curve,2151,222,6,128
4.4,23999,24999,4%,24,Nothing, 256 GB,315,26,8,256
4.4,23999,24999,4%,24,Nothing, 256 GB,315,26,8,256
4.4,30999,39999,22%,24,realme, 14 Pro,8675,947,12,512
4.4,39999,49999,20%,24,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,24,Google, Pixel 9A,4870,334,8,256
4.4,22499,30999,27%,24,Samsung, Galaxy M56,732,48,8,128
4.1,14658,17999,18%,24,realme, Narzo 90x,23,0,8,128
4.4,39999,49999,20%,24,Google, Pixel 9A,4870,334,8,256
4.4,19999,34999,42%,24,OPPO, F29 Pro,1855,128,8,256
4.2,12255,13999,12%,24,realme, C73 5G,1488,74,4,128
4.2,13600,19999,31%,24,OPPO, A3 5G,1483,66,6,128
4.4,19828,32999,39%,24,OPPO, F29 Pro,1855,128,8,128
4.4,34999,37999,7%,24,realme, 14 Pro,8675,947,12,256
4.4,29999,33999,11%,24,realme, 14 Pro,17514,2044,8,128
4.7,134900,49999,20%,24,Apple, iPhone 17,656,47,256,128
4.4,29999,33999,11%,24,realme, 14 Pro,17514,2044,8,128
4.4,31999,35999,11%,24,realme, 14 Pro,17514,2044,8,256
4.4,29600,29999,1%,24,IQOO, Z10 5G,1094,63,12,256
4.2,13999,15999,12%,24,OPPO, A3x 5G,5204,197,4,128
4.3,20990,26499,20%,24,Samsung, Galaxy A17,313,12,8,256
4.3,18948,23499,19%,24,Samsung, Galaxy A17,313,12,8,128
4.3,13203,15999,17%,24,LAVA, Blaze AMOLED,60,6,6,128
4.3,18838,23499,19%,24,Samsung, Galaxy A17,313,12,8,128
4.4,39999,49999,20%,25,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,25,Google, Pixel 9A,4870,334,8,256
4.4,13254,16999,22%,25,realme, Narzo 90x,56,2,6,128
4.7,75999,99999,24%,25,Samsung, Galaxy S25,238,37,12,256
4.4,39999,49999,20%,25,Google, Pixel 9A,4870,334,8,256
4.8,149900,49999,20%,25,Apple, iPhone 17,416,35,256,128
4.2,8199,10999,25%,25,REDMI, 128 GB,2072,84,4,128
4.3,20115,23499,14%,25,Samsung, Galaxy A17,313,12,8,128
4.2,15999,49999,20%,25,OPPO, A3x 5G,5204,197,4,128
4.3,21999,26499,16%,25,Samsung, Galaxy A17,313,12,8,256
4.6,109999,49999,20%,25,Google, Pixel 10,339,32,16,256
4.2,13499,15999,15%,25,realme, Narzo 80x,1699,57,6,128
4.6,109999,129999,15%,25,Samsung, Galaxy S25,2531,256,12,256
4.1,6699,8999,25%,25,Infinix, SMART 9,4493,266,3,64
4.0,6999,9999,30%,25,Ai, 128 GB,4818,303,6,128
4.1,6999,8999,22%,25,REDMI, 64 GB,6564,309,3,64
4.1,6999,8999,22%,25,REDMI, 64 GB,6564,309,3,64
4.1,6999,8999,22%,25,REDMI, 64 GB,6564,309,3,64
4.5,41999,46999,10%,25,realme, GT 7T,322,29,12,512
4.5,41999,46999,10%,25,realme, GT 7T,322,29,12,512
4.3,21990,23499,6%,25,Samsung, Galaxy A17,313,12,8,128
4.3,16980,21999,22%,25,REDMI, Note 14,3026,143,6,128
4.7,109999,129999,15%,25,Samsung, S25 Ultra,338,23,12,256
4.4,19999,28999,31%,25,realme, P3 Pro,17577,1312,8,128
4.4,39999,49999,20%,26,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,26,Google, Pixel 9A,4870,334,8,256
4.5,37999,42999,11%,26,realme, GT 7T,322,29,12,256
4.5,37999,42999,11%,26,realme, GT 7T,322,29,12,256
4.5,37999,42999,11%,26,realme, GT 7T,322,29,12,256
4.3,25335,26999,6%,26,IQOO, Z10R 5G,408,26,12,256
4.4,39999,49999,20%,26,Google, Pixel 9A,4870,334,8,256
4.4,31999,35999,11%,26,POCO, F7 5G,19286,1876,12,256
4.2,8999,12999,30%,26,OPPO, 64 GB,105,7,4,64
4.4,10999,12999,15%,26,realme, C63 5G,7084,273,4,128
4.1,9749,12999,25%,26,POCO, M7 5G,70470,3269,6,128
4.4,16999,20999,19%,26,realme, P3 5G,22294,1437,8,128
4.4,13298,16999,21%,26,realme, Narzo 90x,56,2,6,128
4.4,29999,34999,14%,26,vivo, 128 GB,2024,125,8,128
4.4,25999,36999,29%,26,realme, 13 Pro,17249,1674,8,256
4.4,25999,36999,29%,26,realme, 13 Pro,17249,1674,8,256
4.2,12999,15499,16%,26,POCO, C85 5G,110,6,6,128
4.1,16799,19999,16%,26,Samsung, A16 5G,99,5,6,128
4.2,13425,15999,16%,26,realme, Narzo 80x,1699,57,6,128
4.5,7640,10499,27%,26,Samsung, Galaxy A07,48,2,4,64
4.5,7648,10499,27%,26,Samsung, Galaxy A07,48,2,4,64
4.2,7999,9999,20%,26,REDMI, 128 GB,4450,224,4,128
4.5,47999,49999,20%,26,OPPO, Reno14 5G,3781,337,12,512
4.2,7999,9999,20%,26,REDMI, 128 GB,4450,224,4,128
4.1,12999,15999,18%,27,POCO, M7 Plus,1322,89,4,128
4.1,12999,15999,18%,27,POCO, M7 Plus,1322,89,4,128
4.4,39999,49999,20%,27,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,27,Google, Pixel 9A,4870,334,8,256
4.5,29999,34999,14%,27,MOTOROLA, Edge 70,737,87,8,256
4.3,19999,27999,28%,27,POCO, X7 5G,28239,2138,8,256
4.4,39999,49999,20%,27,Google, Pixel 9A,4870,334,8,256
4.4,21999,22999,4%,27,Nothing, 128 GB,315,26,8,128
4.1,14917,17999,17%,27,realme, Narzo 90x,23,0,8,128
4.1,7099,7799,8%,27,LAVA, 64 GB,200,8,4,64
4.2,13000,14999,13%,27,OPPO, A3x 5G,5204,197,4,64
4.4,19999,28999,31%,27,realme, P3 Pro,17577,1312,8,128
4.2,16990,19499,12%,27,Samsung, Galaxy M17,27,3,8,128
4.4,32282,56999,43%,27,OnePlus, 11 5G,1358,128,8,128
4.4,32998,56999,42%,27,OnePlus, 11 5G,1358,128,8,128
4.2,29998,41999,28%,27,OPPO, RENO 13,401,32,8,128
4.4,24999,36999,32%,27,realme, 13 Pro,17249,1674,8,256
4.2,15999,19999,20%,27,Samsung, Galaxy A16,4222,186,6,128
4.5,19499,24999,22%,27,Infinix, GT 30,234,11,8,128
4.4,18499,22999,19%,27,vivo, T3 5G,137865,8226,8,128
4.4,18499,22999,19%,27,vivo, T3 5G,137865,8226,8,128
4.2,21499,24499,12%,27,Samsung, Galaxy F36,4323,295,8,128
4.3,16399,21999,25%,27,REDMI, Note 14,3026,143,6,128
4.3,29850,54999,45%,27,Xiaomi, 14 CIVI,1758,214,8,256
4.6,100000,134999,25%,28,Samsung, Galaxy S24,7439,548,12,256
4.4,21999,36999,40%,28,OPPO, F29 Pro,1235,62,12,256
4.4,39999,49999,20%,28,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,28,Google, Pixel 9A,4870,334,8,256
4.2,10499,13999,25%,28,REDMI, 14C 5G,8622,430,4,128
4.3,25814,34999,26%,28,realme, 13 Pro,1146,77,12,512
4.7,13499,15999,15%,28,OPPO, A6x 5G,25,0,4,128
4.4,23990,30999,22%,28,realme, 13 Pro,8097,542,8,256
4.4,39999,49999,20%,28,Google, Pixel 9A,4870,334,8,256
4.6,14999,17499,14%,28,OPPO, A6x 5G,45,3,6,128
4.3,29620,54999,46%,28,Xiaomi, 14 CIVI,1758,214,8,256
4.1,10479,13999,25%,28,OPPO, 128 GB,1770,87,4,128
4.3,26398,34999,24%,28,realme, 13 Pro,1146,77,12,512
4.7,134900,49999,20%,28,Apple, iPhone 17,656,47,256,128
4.5,22999,29999,23%,28,vivo, T3 Pro,91994,5614,8,128
4.5,22999,29999,23%,28,vivo, T3 Pro,91994,5614,8,128
4.4,21999,25499,13%,28,vivo, Y31 Pro,226,12,8,256
4.3,15490,21999,29%,28,REDMI, Note 14,3026,143,6,128
4.4,21999,25499,13%,28,vivo, Y31 Pro,226,12,8,256
4.7,109999,119999,8%,28,vivo, X300 Pro,172,35,16,512
4.7,109999,119999,8%,28,vivo, X300 Pro,172,35,16,512
4.1,21881,27999,21%,28,Samsung, Galaxy A26,252,28,8,128
4.4,20499,24999,18%,28,vivo, T3 5G,137865,8226,8,256
4.3,28165,35999,21%,28,Samsung, Galaxy A36,1735,134,8,128
4.3,26499,29999,11%,29,OPPO, F31 5G,1366,72,8,256
4.3,28165,35999,21%,29,Samsung, Galaxy A36,1735,134,8,128
4.4,28999,35999,19%,29,vivo, V50e 5G,3088,179,8,256
4.5,39895,40999,2%,29,IQOO, Neo 10,909,67,12,256
4.4,39999,49999,20%,29,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,29,Google, Pixel 9A,4870,334,8,256
4.4,34999,39999,12%,29,realme, GT 7T,523,44,8,256
4.4,27999,31999,12%,29,OPPO, F31 Pro,640,52,8,128
4.4,39999,49999,20%,29,Google, Pixel 9A,4870,334,8,256
4.5,39999,45999,13%,29,vivo, V60 5G,1236,98,12,256
4.3,17999,19999,10%,29,Tecno, Pova Curve,1324,138,8,128
4.7,51990,59999,13%,29,OnePlus, 15R 5G,39,5,12,512
4.7,51990,59999,13%,29,OnePlus, 15R 5G,39,5,12,512
4.4,27989,27999,20%,29,IQOO, Z10 5G,4834,232,8,256
4.7,154900,49999,20%,29,Apple, iPhone 17,656,47,512,128
4.4,10699,17999,40%,29,REDMI, Note 9,41739,3249,6,512
4.3,6899,8599,19%,29,Tecno, Spark Go,1807,83,3,64
4.5,24999,31999,21%,29,vivo, T3 Pro,91994,5614,8,256
4.3,12999,14999,13%,29,Tecno, Spark 30C,130,12,8,128
4.4,19999,23499,14%,29,vivo, Y31 Pro,226,12,8,128
4.4,19999,23499,14%,29,vivo, Y31 Pro,226,12,8,128
4.6,14999,17499,14%,29,OPPO, A6x 5G,45,3,6,128
4.2,17999,22999,21%,29,REDMI, Note 14,3812,212,8,128
3.9,8999,12999,30%,29,Ai, Nova 5G,3381,301,8,128
4.4,39999,49999,20%,30,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,30,Google, Pixel 9A,4870,334,8,256
4.4,15999,19999,20%,30,realme, P3 5G,32951,2088,6,128
4.1,9999,11999,16%,30,Tecno, Spark 30C,1152,49,4,64
4.4,39999,49999,20%,30,Google, Pixel 9A,4870,334,8,256
4.1,9999,11999,16%,30,Tecno, Spark 30C,1152,49,4,64
4.4,15999,19999,20%,30,realme, P3 5G,32951,2088,6,128
4.7,12499,14499,13%,30,OPPO, A6x 5G,25,0,4,64
4.4,29990,40999,26%,30,realme, 13 Pro,10465,968,12,512
4.4,40998,48999,16%,30,Samsung, Galaxy A56,698,49,8,256
4.2,15998,19999,20%,30,Samsung, Galaxy A16,4222,186,6,128
4.3,10999,12999,15%,30,Motorola, g45 5G,52857,3069,4,128
4.2,19999,49999,20%,30,OPPO, A3 5G,1483,66,6,128
4.1,10499,12999,19%,30,Tecno, Spark 30C,1152,49,4,128
4.4,18499,22999,19%,30,realme, P3 5G,22294,1437,8,256
4.2,10499,12999,19%,30,POCO, M6 5G,155255,7466,4,128
4.1,10740,13999,23%,30,Samsung, Galaxy A06,2505,149,4,64
4.6,55999,79999,30%,30,Samsung, Galaxy S24,49029,2702,8,256
4.4,27790,38999,28%,30,realme, 13 Pro,10465,968,12,256
4.3,13824,16499,16%,30,Samsung, Galaxy M17,94,7,4,128
4.4,23399,33999,31%,30,vivo, V50e 5G,3088,179,8,128
4.5,24999,31999,21%,30,vivo, T3 Pro,91994,5614,8,256
4.1,10785,13499,20%,30,Samsung, Galaxy A06,2505,149,4,128
4.3,12999,14999,13%,30,Tecno, Spark 30C,130,12,8,128
4.4,39999,49999,20%,31,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,31,Google, Pixel 9A,4870,334,8,256
4.4,20999,30999,32%,31,realme, P3 Pro,17577,1312,8,256
4.4,21999,30999,29%,31,realme, P3 Pro,17577,1312,8,256
4.7,154900,49999,20%,31,Apple, iPhone 17,656,47,512,128
4.4,22999,32999,30%,31,realme, P3 Pro,4073,293,12,256
4.4,39999,49999,20%,31,Google, Pixel 9A,4870,334,8,256
4.3,6899,8599,19%,31,Tecno, Spark Go,1807,83,3,64
4.4,18499,22999,19%,31,realme, P3 5G,22294,1437,8,256
4.4,38499,41999,8%,31,Samsung, Galaxy A36,267,18,12,256
4.2,13790,19999,31%,31,OPPO, A3 5G,1483,66,6,128
3.9,8999,12999,30%,31,Ai, Nova 5G,3381,301,8,128
4.4,26999,27999,3%,31,IQOO, Z10 5G,4834,232,8,256
4.3,12999,14999,13%,31,Tecno, Spark 30C,130,12,8,128
4.3,24999,27999,10%,31,OPPO, F31 5G,1366,72,8,128
4.3,11999,15999,25%,31,Tecno, Pova 6,5833,351,6,128
4.3,11999,15999,25%,31,Tecno, Pova 6,5833,351,6,128
4.2,8999,11999,25%,31,POCO, M6 5G,155255,7466,4,64
4.3,24999,27999,10%,31,OPPO, F31 5G,1366,72,8,128
3.9,6599,8999,26%,31,POCO, Locked with,54664,2462,4,64
4.4,28499,35999,20%,31,vivo, V50e 5G,3088,179,8,256
4.4,12999,14999,13%,31,realme, C63 5G,4423,146,8,128
4.4,26290,34999,24%,31,REDMI, Note-14,498,27,8,128
4.4,27999,29999,6%,31,Nothing, 256 GB,15757,1048,8,256
4.3,24999,27999,10%,32,OPPO, F31 5G,1366,72,8,128
3.9,6599,8999,26%,32,POCO, Locked with,54664,2462,4,64
4.4,39999,49999,20%,32,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,32,Google, Pixel 9A,4870,334,8,256
4.4,26290,34999,24%,32,REDMI, Note-14,498,27,8,128
4.4,27999,29999,6%,32,Nothing, 256 GB,15757,1048,8,256
4.4,39999,49999,20%,32,Google, Pixel 9A,4870,334,8,256
4.4,28499,35999,20%,32,vivo, V50e 5G,3088,179,8,256
4.4,12999,14999,13%,32,realme, C63 5G,4423,146,8,128
4.1,9749,12999,25%,32,POCO, M7 5G,70470,3269,6,128
4.6,109999,129999,15%,32,Samsung, Galaxy S25,2531,256,12,256
4.3,21899,28999,24%,32,REDMI, Note 14,5316,373,8,128
4.7,75999,99999,24%,32,Samsung, Galaxy S25,238,37,12,256
4.4,21999,28999,24%,32,realme, 13 Pro,8097,542,8,128
4.4,26370,34999,24%,32,REDMI, Note-14,498,27,8,128
4.2,13000,14999,13%,32,OPPO, A3x 5G,5204,197,4,64
4.7,47386,54999,13%,32,OnePlus, 15R 5G,39,5,12,256
4.7,47697,54999,13%,32,OnePlus, 15R 5G,39,5,12,256
4.3,43999,49999,20%,32,Google, Pixel 6a,76052,8530,6,128
4.3,43999,49999,20%,32,Google, Pixel 6a,76052,8530,6,128
4.2,13499,15999,15%,32,OPPO, A3x 5G,5204,197,4,128
4.5,35887,43999,18%,32,vivo, V60 5G,2728,213,8,256
4.4,20999,27999,25%,32,Motorola, Edge 50,172252,11415,12,256
4.3,19789,32999,40%,32,vivo, V25 5G,9522,822,8,128
4.3,33999,40999,17%,33,MOTOROLA, Edge 60,13240,1089,12,256
4.6,69900,49999,20%,33,Apple, iPhone 14,86809,4757,128,128
4.4,39999,49999,20%,33,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,33,Google, Pixel 9A,4870,334,8,256
4.2,8999,11999,25%,33,POCO, M6 5G,155255,7466,4,64
4.5,38999,48999,20%,33,vivo, V50 5G,2082,180,12,512
4.7,13499,15999,15%,33,OPPO, A6x 5G,25,0,4,128
4.2,16499,22999,28%,33,REDMI, Note 14,3812,212,8,128
4.4,39999,49999,20%,33,Google, Pixel 9A,4870,334,8,256
4.7,12499,14499,13%,33,OPPO, A6x 5G,25,0,4,64
4.5,40890,42999,4%,33,OPPO, Reno14 5G,4426,421,8,256
4.5,41384,42999,3%,33,OPPO, Reno14 5G,4426,421,8,256
4.3,8332,16999,50%,33,REDMI, 9 Power,245698,16833,4,64
4.2,13998,14999,6%,33,Motorola, G34 5G,149015,10007,8,128
4.5,34999,42999,18%,33,vivo, V50 5G,8087,654,8,256
4.4,34999,39999,12%,33,realme, GT 7T,523,44,8,256
4.4,29999,33999,11%,33,Samsung, Galaxy F56,243,15,8,256
4.2,28999,41999,30%,33,OPPO, RENO 13,401,32,8,128
4.3,15982,17999,11%,33,Samsung, Galaxy M17,99,7,6,128
4.2,13999,17499,20%,33,Samsung, Galaxy F16,10029,578,6,128
4.3,7999,8999,11%,33,Infinix, SMART 10,1053,67,4,64
4.4,29999,33999,11%,33,OPPO, F31 Pro,640,52,8,256
4.4,29999,33999,11%,33,OPPO, F31 Pro,640,52,8,256
4.1,10690,15499,31%,33,Samsung, Galaxy A06,2505,149,4,128
4.2,13998,14999,6%,34,Motorola, G34 5G,149015,10007,8,128
4.4,34999,39999,12%,34,realme, GT 7T,523,44,8,256
4.4,29999,33999,11%,34,Samsung, Galaxy F56,243,15,8,256
4.2,28999,41999,30%,34,OPPO, RENO 13,401,32,8,128
4.4,39999,49999,20%,34,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,34,Google, Pixel 9A,4870,334,8,256
4.3,15982,17999,11%,34,Samsung, Galaxy M17,99,7,6,128
4.3,7999,8999,11%,34,Infinix, SMART 10,1053,67,4,64
4.4,39999,49999,20%,34,Google, Pixel 9A,4870,334,8,256
4.2,13999,17499,20%,34,Samsung, Galaxy F16,10029,578,6,128
4.4,29999,33999,11%,34,OPPO, F31 Pro,640,52,8,256
