Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.2,9999,12499,20%,4,Samsung, Galaxy F06,38028,2243,4,1500
4.3,21999,31999,31%,4,POCO, X7 Pro,16224,1708,8,256
4.4,20999,24999,16%,4,CMF, by Nothing,65644,4533,8,256
4.4,16499,19499,15%,4,vivo, T4x 5G,148345,7016,8,128
4.3,13499,18999,28%,4,POCO, M7 Pro,34877,2523,6,128
4.3,10999,13999,21%,4,POCO, M7 5G,15304,742,8,128
4.4,20999,24999,16%,4,CMF, by Nothing,65644,4533,8,256
4.4,16499,19499,15%,4,vivo, T4x 5G,148345,7016,8,128
4.5,6699,8499,21%,4,Tecno, Spark Go,151,7,3,64
4.4,39999,49999,20%,5,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,5,Google, Pixel 9A,4870,334,8,256
4.3,7999,9999,20%,5,MOTOROLA, g06 power,3685,252,4,64
4.3,20999,28999,27%,5,MOTOROLA, Edge 60,13941,1019,8,256
4.4,39999,49999,20%,5,Google, Pixel 9A,4870,334,8,256
4.3,9313,11999,22%,5,REDMI, 128 GB,13336,566,4,128
4.3,14999,17999,16%,5,POCO, M7 Plus,3364,193,8,128
4.3,18369,19999,8%,5,REDMI, 15 5G,2540,130,8,256
4.3,7535,8999,16%,5,realme, 64 GB,650,24,4,64
4.4,12998,16999,23%,5,realme, P3x 5G,69374,2637,6,128
4.3,33999,40999,17%,5,MOTOROLA, Edge 60,13240,1089,12,256
4.4,17999,19999,10%,5,Infinix, Note 50s,9498,599,6,128
4.0,6999,9999,30%,5,Ai, 128 GB,4818,303,6,128
4.4,18499,20999,11%,5,vivo, T4x 5G,148345,7016,8,256
4.5,19999,22999,13%,5,OPPO, K13 5G,73405,4402,8,128
4.3,7999,9999,20%,5,MOTOROLA, g06 power,3685,252,4,64
4.4,24999,35999,30%,5,realme, 14 Pro,17514,2044,8,256
4.3,6499,7999,18%,5,Ai, 64 GB,40425,2483,4,64
4.4,18999,22999,17%,5,CMF, by Nothing,65644,4533,8,128
4.4,18490,20499,9%,5,IQOO, Z10X 5G,4695,221,8,256
4.3,13499,19999,32%,5,REDMI, Note 14,21401,912,6,128
4.4,11999,12999,7%,5,realme, P3 Lite,6402,265,4,128
4.3,14999,17999,16%,5,POCO, M7 Plus,3364,193,8,128
4.3,8794,10999,20%,5,realme, Narzo 80,1239,66,6,128
4.4,39999,49999,20%,6,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,6,Google, Pixel 9A,4870,334,8,256
4.1,10676,15499,31%,6,Samsung, Galaxy A06,2505,149,4,128
4.6,69900,49999,20%,6,Apple, iPhone 16,198933,6344,128,128
4.3,29999,36999,18%,6,MOTOROLA, Edge 60,43109,3210,8,256
4.5,19999,22999,13%,6,OPPO, K13 5G,73405,4402,8,128
4.4,39999,49999,20%,6,Google, Pixel 9A,4870,334,8,256
4.4,12999,16999,23%,6,realme, P3x 5G,69374,2637,6,128
4.4,12999,16999,23%,6,realme, P3x 5G,69374,2637,6,128
4.1,7499,9999,25%,6,POCO, 128 GB,30602,1450,6,128
4.4,18999,33999,44%,6,Samsung, Galaxy A35,66976,3873,8,128
4.5,21999,24999,12%,6,OPPO, K13 5G,73405,4402,8,256
4.5,19999,22999,13%,6,OPPO, K13 5G,73405,4402,8,128
4.3,7249,8999,19%,6,realme, 64 GB,40868,1318,4,64
4.3,8490,9999,15%,6,Samsung, 64 GB,4066,165,4,64
4.5,29999,32999,9%,6,Nothing, 128 GB,12325,934,8,128
4.5,31999,34999,8%,6,Nothing, 256 GB,12325,934,8,256
4.3,10999,13999,21%,6,POCO, M7 5G,15304,742,8,128
4.1,9154,13999,34%,6,Samsung, Galaxy A06,2505,149,4,64
4.3,17999,19999,10%,6,MOTOROLA, G86 Power,25203,1645,8,128
4.1,12192,16999,28%,6,Samsung, Galaxy A06,56,2,6,128
4.2,12499,15499,19%,6,Samsung, Galaxy F06,19638,1242,6,1500
4.4,17999,19999,10%,6,Infinix, Note 50s,9498,599,6,128
4.3,9294,11999,22%,6,REDMI, 128 GB,13336,566,4,128
